,Infections
2020-01-22,
2020-01-23,
2020-01-24,
2020-01-25,
2020-01-26,
2020-01-27,
2020-01-28,
2020-01-29,
2020-01-30,
2020-01-31,
2020-02-01,1.0
2020-02-02,1.0
2020-02-03,1.0
2020-02-04,1.0
2020-02-05,1.0
2020-02-06,1.0
2020-02-07,1.0
2020-02-08,1.0
2020-02-09,2.0
2020-02-10,2.0
2020-02-11,2.0
2020-02-12,2.0
2020-02-13,2.0
2020-02-14,2.0
2020-02-15,2.0
2020-02-16,2.0
2020-02-17,2.0
2020-02-18,2.0
2020-02-19,2.0
2020-02-20,2.0
2020-02-21,2.0
2020-02-22,2.0
2020-02-23,2.0
2020-02-24,2.0
2020-02-25,6.0
2020-02-26,13.0
2020-02-27,15.0
2020-02-28,32.0
2020-02-29,45.0
2020-03-01,84.0
2020-03-02,120.0
2020-03-03,165.0
2020-03-04,222.0
2020-03-05,259.0
2020-03-06,400.0
2020-03-07,500.0
2020-03-08,673.0
2020-03-09,1073.0
2020-03-10,1695.0
2020-03-11,2277.0
2020-03-12,2277.0
2020-03-13,5232.0
2020-03-14,6391.0
2020-03-15,7798.0
2020-03-16,9942.0
2020-03-17,11748.0
2020-03-18,13910.0
2020-03-19,17963.0
2020-03-20,20410.0
2020-03-21,25374.0
2020-03-22,28768.0
2020-03-23,35136.0
2020-03-24,39885.0
2020-03-25,49515.0
2020-03-26,57786.0
2020-03-27,65719.0
2020-03-28,73235.0
2020-03-29,80110.0
2020-03-30,87956.0
2020-03-31,95923.0
2020-04-01,104118.0
2020-04-02,112065.0
2020-04-03,119199.0
2020-04-04,126168.0
2020-04-05,131646.0
2020-04-06,132712.09838190896
2020-04-07,134448.32539725365
2020-04-08,134763.05220945805
2020-04-09,133646.2693131839
2020-04-10,131133.4241619229
2020-04-11,127303.55257411057
2020-04-12,122275.1502704156
2020-04-13,116200.08538622204
2020-04-14,109255.98814339105
2020-04-15,101637.64917279218
2020-04-16,93548.00578187635
2020-04-17,85189.29345301226
2020-04-18,76754.89092805787
2020-04-19,68422.2988639329
2020-04-20,60347.57517931762
2020-04-21,52661.41779905948
2020-04-22,45466.95089223252
2020-04-23,38839.14615154747
2020-04-24,32825.70612041295
2020-04-25,27449.158851689626
2020-04-26,22709.865605727657
2020-04-27,18589.625805128653
2020-04-28,15055.573094211808
2020-04-29,12064.087978368254
2020-04-30,9564.499741616415
2020-05-01,7502.406367432966
2020-05-02,5822.499612972761
2020-05-03,4470.837786313568
2020-05-04,3396.557079993026
2020-05-05,2553.0509514552755
2020-05-06,1898.6748904955957
2020-05-07,1397.051101159915
2020-05-08,1017.0552292005303
2020-05-09,732.5669852139368
2020-05-10,522.0603469509205
2020-05-11,368.09899620847807
2020-05-12,256.79059805906377
2020-05-13,177.2409889043652
2020-05-14,121.03745136158993
2020-05-15,81.77977970320616
